ros_time,recv_time_utc,raw_line,parse_ok,error
1782389670.840833,2026-06-25T12:14:30.840Z,-186.66; -17.08; 997.47; -3724.44; 13679.58; -15789.64; 73627.91; -27343.11; 8144.26; 2185553417.00; 20003.00; 19995.00; 19999.00; 20001.00; 19999.00;  -0.59; 1014.93; 171998.00;   0.75;,1,
1782389670.857325,2026-06-25T12:14:30.857Z,-186.66; -17.08; 997.23; -3768.19; 13710.20; -15798.39; 73627.91; -27343.13; 8146.19; 2185653402.00; 20005.00; 19998.00; 19996.00; 19999.00; 19999.00;  -0.59; 1014.69; 171998.00;   0.75;,1,
1782389670.873641,2026-06-25T12:14:30.873Z,-186.54; -16.96; 997.23; -3785.69; 13740.83; -15807.14; 73627.91; -27343.16; 8148.13; 2185753453.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.67; 171998.00;   0.75;,1,
1782389670.890012,2026-06-25T12:14:30.890Z,-186.66; -16.84; 997.72; -3798.81; 13714.58; -15780.89; 73627.91; -27343.19; 8150.06; 2185853764.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.17; 171998.00;   0.75;,1,
1782389670.906526,2026-06-25T12:14:30.906Z,-186.90; -16.84; 997.84; -3746.31; 13657.70; -15794.01; 73627.91; -27343.22; 8151.99; 2185953679.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.33; 171998.00;   0.75;,1,
1782389670.922789,2026-06-25T12:14:30.922Z,-186.78; -16.47; 997.96; -3720.06; 13635.83; -15807.14; 73627.91; -27343.25; 8153.92; 2186054044.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.42; 171998.00;   0.75;,1,
1782389670.939208,2026-06-25T12:14:30.939Z,-186.78; -16.59; 997.96; -3737.56; 13644.58; -15776.51; 73627.91; -27343.28; 8155.86; 2186153770.00; 19999.00; 19999.00; 20066.00; 19932.00; 19999.00;  -0.59; 1015.42; 171998.00;   0.75;,1,
1782389670.955003,2026-06-25T12:14:30.955Z,-186.66; -16.59; 997.96; -3720.06; 13666.45; -15767.76; 73627.91; -27343.31; 8157.79; 2186253935.00; 19999.00; 19999.00; 19999.00; 20004.00; 19995.00;  -0.59; 1015.40; 171998.00;   0.75;,1,
1782389670.971098,2026-06-25T12:14:30.971Z,-186.66; -16.59; 998.20; -3807.56; 13653.33; -15776.51; 73627.91; -27343.34; 8159.72; 2186354337.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.64; 171998.00;   0.75;,1,
1782389671.96415,2026-06-25T12:14:31.964Z,-187.64; -16.96; 997.47; -3825.06; 13710.20; -15794.01; 73627.93; -27343.37; 8161.65; 2186593406.00; 155937.00; 19996.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.11; 171998.00;   0.75;,1,
1782389671.980691,2026-06-25T12:14:31.980Z,-187.39; -16.84; 997.23; -3811.94; 13688.33; -15789.64; 73627.95; -27343.40; 8163.58; 2186693526.00; 20024.00; 19975.00; 19999.00; 19999.00; 19999.00;  -0.60; 1014.82; 173240.00;   0.75;,1,
1782389671.997002,2026-06-25T12:14:31.997Z,-187.51; -16.84; 997.47; -3838.19; 13697.08; -15798.39; 73627.96; -27343.43; 8165.50; 2186793647.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.08; 173240.00;   0.75;,1,
1782389672.013534,2026-06-25T12:14:32.013Z,-187.64; -16.84; 997.35; -3746.31; 13732.08; -15811.51; 73627.98; -27343.46; 8167.43; 2186893486.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1014.99; 173240.00;   0.75;,1,
1782389672.029726,2026-06-25T12:14:32.029Z,-187.51; -17.08; 997.23; -3755.06; 13666.45; -15811.51; 73627.99; -27343.49; 8169.35; 2186993712.00; 19999.00; 19999.00; 19999.00; 19999.00; 20003.00;  -0.60; 1014.85; 173240.00;   0.75;,1,
1782389672.046115,2026-06-25T12:14:32.046Z,-187.39; -16.71; 997.23; -3846.94; 13740.83; -15802.76; 73628.01; -27343.52; 8171.28; 2187093950.00; 19995.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1014.82; 173240.00;   0.75;,1,
1782389672.062515,2026-06-25T12:14:32.062Z,-187.39; -16.59; 997.23; -3838.19; 13736.45; -15772.14; 73628.02; -27343.55; 8173.21; 2187193805.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1014.82; 173240.00;   0.75;,1,
1782389672.078995,2026-06-25T12:14:32.079Z,-187.39; -16.59; 997.47; -3825.06; 13697.08; -15763.39; 73628.04; -27343.58; 8175.13; 2187293872.00; 19999.00; 19999.00; 20001.00; 19997.00; 19999.00;  -0.60; 1015.06; 173240.00;   0.75;,1,
1782389672.093914,2026-06-25T12:14:32.094Z,-187.39; -16.84; 997.47; -3833.81; 13749.58; -15798.39; 73628.05; -27343.61; 8177.06; 2187394302.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.06; 173240.00;   0.75;,1,
1782389672.111319,2026-06-25T12:14:32.111Z,-187.39; -16.84; 997.47; -3807.56; 13714.58; -15772.14; 73628.07; -27343.63; 8178.99; 2187494205.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.06; 173240.00;   0.75;,1,
1782389673.104455,2026-06-25T12:14:33.104Z,-187.15; -17.08; 997.59; -3593.19; 13473.95; -15807.14; 73628.09; -27343.65; 8180.91; 2187733326.00; 155661.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.14; 173240.00;   0.75;,1,
1782389673.121186,2026-06-25T12:14:33.121Z,-187.15; -17.08; 997.59; -3601.94; 13561.45; -15780.89; 73628.11; -27343.68; 8182.83; 2187833549.00; 19999.00; 19999.00; 19999.00; 20001.00; 19997.00;  -0.59; 1015.14; 173061.00;   0.75;,1,
1782389673.137343,2026-06-25T12:14:33.137Z,-187.15; -17.08; 997.47; -3606.31; 13565.83; -15807.14; 73628.13; -27343.69; 8184.76; 2187933634.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.02; 173061.00;   0.75;,1,
1782389673.153731,2026-06-25T12:14:33.153Z,-187.03; -16.96; 997.47; -3628.19; 13565.83; -15789.64; 73628.16; -27343.71; 8186.69; 2188033851.00; 19999.00; 19999.00; 20001.00; 20030.00; 19967.00;  -0.59; 1015.00; 173061.00;   0.75;,1,
1782389673.170566,2026-06-25T12:14:33.170Z,-186.90; -16.96; 997.35; -3641.31; 13530.83; -15798.39; 73628.20; -27343.73; 8188.62; 2188133594.00; 19999.00; 19999.00; 20037.00; 19962.00; 19999.00;  -0.59; 1014.85; 173061.00;   0.75;,1,
1782389673.186737,2026-06-25T12:14:33.186Z,-187.27; -17.08; 997.23; -3667.56; 13526.45; -15780.89; 73628.23; -27343.74; 8190.54; 2188233805.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1014.80; 173061.00;   0.75;,1,
1782389673.202885,2026-06-25T12:14:33.202Z,-187.39; -16.84; 997.47; -3628.19; 13535.20; -15794.01; 73628.26; -27343.76; 8192.47; 2188334084.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.06; 173061.00;   0.75;,1,
1782389673.219236,2026-06-25T12:14:33.219Z,-187.27; -16.71; 997.59; -3636.94; 13522.08; -15780.89; 73628.29; -27343.77; 8194.40; 2188433942.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.16; 173061.00;   0.75;,1,
1782389673.23446,2026-06-25T12:14:33.234Z,-187.15; -16.84; 997.72; -3601.94; 13535.20; -15794.01; 73628.32; -27343.79; 8196.32; 2188534221.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.26; 173061.00;   0.75;,1,
1782389673.251388,2026-06-25T12:14:33.251Z,-187.27; -16.84; 997.72; -3623.81; 13539.58; -15772.14; 73628.35; -27343.80; 8198.24; 2188634413.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.28; 173061.00;   0.75;,1,
1782389674.244546,2026-06-25T12:14:34.244Z,-186.90; -16.59; 997.47; -3833.81; 13810.83; -15780.89; 73628.38; -27343.82; 8200.17; 2188873306.00; 155975.00; 19956.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.97; 173061.00;   0.75;,1,
1782389674.260902,2026-06-25T12:14:34.261Z,-186.90; -16.71; 997.47; -3903.81; 13767.08; -15741.51; 73628.41; -27343.84; 8202.09; 2188973416.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.97; 172250.00;   0.75;,1,
1782389674.277354,2026-06-25T12:14:34.277Z,-187.03; -16.84; 997.47; -3916.94; 13819.58; -15759.01; 73628.43; -27343.86; 8204.01; 2189073582.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.99; 172250.00;   0.75;,1,
1782389674.293767,2026-06-25T12:14:34.293Z,-186.90; -16.84; 997.47; -3890.69; 13806.45; -15754.64; 73628.46; -27343.87; 8205.94; 2189173451.00; 19999.00; 19999.00; 19999.00; 19999.00; 20085.00;  -0.59; 1014.97; 172250.00;   0.75;,1,
1782389674.310317,2026-06-25T12:14:34.310Z,-187.03; -16.71; 997.47; -3873.19; 13771.45; -15789.64; 73628.48; -27343.89; 8207.86; 2189273600.00; 19914.00; 19999.00; 19999.00; 19999.00; 20031.00;  -0.59; 1014.99; 172250.00;   0.75;,1,
1782389674.326545,2026-06-25T12:14:34.326Z,-186.66; -16.59; 997.72; -3921.31; 13802.08; -15772.14; 73628.52; -27343.91; 8209.78; 2189373942.00; 19967.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.16; 172250.00;   0.75;,1,
1782389674.343316,2026-06-25T12:14:34.343Z,-186.66; -16.59; 997.84; -3877.56; 13815.20; -15802.76; 73628.55; -27343.92; 8211.71; 2189473670.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.28; 172250.00;   0.75;,1,
